Name	Smiles
CL387626	NC(=O)CN(CC(N)=O)S(=O)(=O)c1cccc(Nc2nc(Nc3cccc(S(=O)(=O)N(CC(N)=O)CC(N)=O)c3)nc(Nc3ccc(-c4ccc(Nc5nc(Nc6cccc(S(=O)(=O)N(CC(N)=O)CC(N)=O)c6)nc(Nc6cccc(S(=O)(=O)N(CC(N)=O)CC(N)=O)c6)n5)cc4S(=O)(=O)O)c(S(=O)(=O)O)c3)n2)c1
DIMEDAZOL	Cc1cc2nc[nH]c2cc1C
PITRAZEPINE	c1ccc2c(c1)Cc1ccccc1-n1c-2nnc1N1CCNCC1
DACOPAFANT	NC(=O)c1ccn2c1CSC2c1cccnc1
TRIFLUOROMETHANESULFONAMIDE	NS(=O)(=O)C(F)(F)F
ISOCLOTHIAPINE	CN1CCN(C2=Nc3cc(Cl)ccc3Sc3ccccc32)CC1
CALICHEAMICIN ALPHA3 I	COC(=O)NC1=C2/C(=C/CSSSC)[C@](O)(C#C/C=C\C#CC2OC2OC(C)C(NOC3CC(O)C(SC(=O)c4c(C)c(I)c(OC5OC(C)C(O)C(OC)C5O)c(OC)c4OC)C(C)O3)C(O)C2O)CC1=O
ISONOTHOLAENIC ACID	COc1ccc(CCc2cc(O)cc(OC)c2C(=O)O)cc1
NORDIDEMNIN	COc1ccc(C[C@H]2C(=O)O[C@H](C)[C@H](NC(=O)[C@@H](CC(C)C)N(C)C(=O)C3CCCN3C(=O)[C@@H](C)O)C(=O)NC(C(C)C)[C@H](O)CC(=O)O[C@@H](C(C)C)C(=O)[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N3CCC[C@H]3C(=O)N2C)cc1
YOHIMBIC ACID	O=C(O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21
GW580509X	CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3cccc(OC)c3)o2)c1
GW622055X	CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3ccccc3Cl)o2)c1
Antide	CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCNC(=O)c1cccnc1)C(=O)N[C@H](CCCCNC(=O)c1cccnc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@@H]1C(=O)N[C@H](C)C(N)=O
MOXIRAPRINE	Cc1cc(-c2ccc(O)cc2)nnc1NCCN1CCOCC1
MJ347-81F4 A	C=C(NC(=O)c1csc(-c2nc3c(cc2O)-c2nc(cs2)C(=O)N[C@@H]([C@@H](C)O)C(=O)N/C(=C(\C)OC)c2nc(cs2)C(=O)N[C@@H]2c4nc(cs4)C(=O)N[C@@H](COC(=O)c4c5c6c(cccc6n4O)COC(=O)[C@@H](O[C@H]4C[C@](C)(O)[C@H](N(C)C)[C@H](C)O4)[C@H]2OC5)c2nc-3cs2)n1)C(N)=O
3-HYDROXYRIMANTADINE	CC(N)C12CC3CC(CC(O)(C3)C1)C2
DESMETHYL-OFLOXACIN	CC1COc2c(N3CCNCC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
APOPTOLIDIN	COC[C@@H](C[C@H]1O[C@@](O)([C@H](O)[C@@H]2C[C@H](OC)[C@@H](O)CC/C=C(C)/C=C/[C@@H](O[C@@H]3O[C@@H](C)[C@H](OC)[C@@H](O)[C@@H]3O)[C@H](C)/C=C(C)/C=C(C)/C=C(\C)C(=O)O2)[C@H](C)[C@@H](O)[C@H]1C)OC1C[C@](C)(O)[C@@H](O[C@H]2C[C@@H](OC)[C@H](O)[C@@H](C)O2)[C@H](C)O1
ST1535	CCCCc1nc(N)c2nc(-n3nccn3)n(C)c2n1
RISPERIDON	Cc1nc2n(c(=O)c1CCN1CCC(C3NOc4cc(F)ccc43)CC1)CCCC2
DEHYDROTAMANDARIN A	CC[C@H](C)C1NC(=O)[C@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)C2CCCN2C(=O)C(C)=O)[C@H](C)OC(=O)[C@@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@@H](C(C)C)OC(=O)C[C@H]1O
18-HYDROXYFERRUGINOL	CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CO)[C@@H]1CC2
NORQUADRANGULARIC ACID A	C[C@H](CCC(=O)O)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@](C)(C(=O)O)[C@@H](O)C[C@H](O)[C@@]45C[C@@]35CC[C@]12C
SECOBOTRYTRIENDIOL	C=CC1=C(/C(=C\C)CO)[C@@](C)(CO)CC1(C)C
6-HYDROXYPUNCTAPORONIN B	CC1(C)C[C@@H]2/C(CO)=C\C=C/[C@@](C)(O)C[C@H](O)[C@]21O
HUAZHONGILEXIN	COc1cc([C@H]2O[C@H](c3cc(OC)c(O)c(OC)c3)[C@@H](CO)[C@@H]2CO)cc(OC)c1O
RAUTANDIOL A	CC1(C)Oc2cc3c(cc2CC1O)[C@@H]1Oc2cc(O)ccc2[C@@H]1CO3
POLYGALASAPONIN V	C[C@@H]1O[C@@H](O[C@H]2[C@H](OC(=O)[C@]34CCC(C)(C)C[C@H]3C3=CC[C@@H]5[C@@]6(C)C[C@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@](C)(CO)[C@@H]6CC[C@@]5(C)[C@]3(C)CC4)O[C@H](CO)[C@@H](O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H]2O[C@@H]2OC[C@](O)(CO)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O
